dir_id|director_name|director_gender
1|Aki Kaurismaki|0
2|Allison Anders|1
3|Stephen Hopkins|2
4|Timo Novotny|0
5|Marc Meyer|0
6|George Lucas|2
7|Andrew Stanton|2
8|Robert Zemeckis|2
9|Sam Mendes|2
10|Orson Welles|2
11|Lars von Trier|2
12|John Fawcett|2
13|Luc Besson|2
14|Fritz Lang|2
15|Isabel Coixet|1
16|Bruce Brown|2
17|Gore Verbinski|2
18|Quentin Tarantino|2
19|Eytan Fox|2
20|Michael Winterbottom|2
21|Francis Ford Coppola|2
22|Koji Morimoto|0
23|Tensai Okamura|0
24|Katsuhiro Otomo|2
25|Clint Eastwood|2
26|David Silverman|2
27|Michel Gondry|2
28|Alejandro Gonzalez Inarritu|2
29|David Cronenberg|2
30|Stanley Kubrick|2
31|Terry Gilliam|2
32|Pedro Almodovar|2
33|Curtis Hanson|2
34|Hany Abu-Assad|2
35|James Mangold|2
36|Stephen Daldry|2
37|Tony Kaye|2
38|Steven Spielberg|2
39|Tim Burton|2
40|Richard Linklater|2
41|Christopher Nolan|2
42|Ridley Scott|2
43|Zhang Yimou|2
44|Hayao Miyazaki|2
45|Michael Mann|2
46|Chris Kentis|2
47|Oskar Roehler|2
48|Emile Ardolino|2
49|Martin Brest|2
50|Luis Bunuel|2
51|Michael Glawogger|2
52|Otto Preminger|2
53|Andre F. Nebe|0
54|Michael Bay|2
55|Tony Scott|2
56|Steven Lisberger|2
57|Guy Ritchie|2
58|Susanne Bier|1
59|Martin Scorsese|2
60|Tom Tykwer|2
61|John McTiernan|0
62|Krzysztof Kieslowski|2
63|Brian De Palma|2
64|Lone Scherfig|1
65|Kim Ki-duk|2
66|Garry Marshall|2
67|Joel Coen|0
68|Woody Allen|2
69|Peter Jackson|2
70|Ralph Bakshi|2
71|Albert Maysles|2
72|Robert Drew|2
73|D.A. Pennebaker|2
74|Tod Browning|2
75|Harold Ramis|2
76|Soren Kragh-Jacobsen|2
77|Richard Kelly|2
78|Ang Lee|2
79|Lewis Milestone|0
80|Wim Wenders|2
81|Francois Truffaut|0
82|Walter Hill|0
83|Robert Wise|2
84|Sofia Coppola|1
85|Nicholas Meyer|2
86|Leonard Nimoy|2
87|Thomas Jahn|2
88|Sonke Wortmann|0
89|Louis Lumiere|0
90|Steven Soderbergh|2
91|Blake Edwards|2
92|Claude Pinoteau|2
93|Iain Softley|2
94|Danny Boyle|2
95|William Shatner|2
96|Richard Fleischer|0
97|James Wan|2
98|Sydney Pollack|2
99|Todd Holland|0
100|Paul McGuigan|0
101|Robert Rodriguez|0
102|Timo Mugele|0
103|Christian Petzold|2
104|Jean-Jacques Annaud|2
105|David Carson|2
106|Jean-Pierre Jeunet|2
107|Ernst Lubitsch|2
108|Mel Gibson|2
109|Jonathan Frakes|2
110|Stuart Baird|2
111|Henri-Georges Clouzot|2
112|Terry George|2
113|Mario Andreacchio|2
114|Peter Weir|2
115|Hannes Stohr|2
116|Frank Capra|0
117|Alfred Hitchcock|2
118|Darren Lynn Bousman|2
119|Rainer Werner Fassbinder|2
120|James Cameron|2
121|Elia Kazan|2
122|Nicholas Ray|0
123|Walter Ruttmann|2
124|Andrzej Wajda|2
125|Kimberly Peirce|0
126|Josef von Sternberg|2
127|James Whale|2
128|Stephen Gaghan|2
129|Philip Kaufman|2
130|Robert Wiene|2
131|Rob Reiner|2
132|P.J. Hogan|2
133|David Mackenzie|2
134|Billy Wilder|0
135|Oliver Stone|2
136|Stephen Frears|0
137|Merian C. Cooper|2
138|Chris Weitz|0
139|Takeshi Kitano|2
140|Danny DeVito|2
141|Lasse Spang Olsen|0
142|Jerry Zucker|2
143|Mel Stuart|2
144|Guy Hamilton|2
145|Roman Polanski|2
146|Richard Brooks|2
147|Jean-Luc Godard|2
148|Tage Danielsson|0
149|Hans Weingartner|2
150|Jonathan Demme|2
151|Len Wiseman|2
152|Frank Darabont|2
153|Milos Forman|2
154|Kathryn Bigelow|1
155|Ron Shelton|2
156|Fred Zinnemann|0
157|Michael Curtiz|0
158|Stacy Peralta|2
159|Robert Redford|2
160|Donna Deitch|1
161|Jonathan Mostow|2
162|Howard Hawks|0
163|Francois Ozon|2
164|John Landis|2
165|Roberto Rossellini|2
166|Jim Jarmusch|0
167|Thomas Vinterberg|2
168|Tom Shadyac|2
169|Sergio Leone|2
170|Caroline Link|1
171|Marc Evans|2
172|Pitof|2
173|Russ Meyer|0
174|Andreas Dresen|2
175|Jasmila Zbanic|1
176|Emile Gaudreault|2
177|David R. Ellis|2
178|Joe Johnston|2
179|David Kellogg|2
180|Deepa Mehta|1
181|Paul Thomas Anderson|2
182|Francois Dupeyron|0
183|Wolfgang Becker|2
184|Liev Schreiber|2
185|Manuel Pradal|2
186|Marco Kreuzpaintner|2
187|Hal Ashby|2
188|Peter Thorwarth|0
189|Akira Kurosawa|2
190|Robert Siodmak|0
191|Olivier Ducastel|0
192|David Frankel|2
193|Valeska Grisebach|0
194|Fatih Akin|2
195|Wes Craven|2
196|Barry Levinson|2
197|Gus Van Sant|2
198|Wolfgang Petersen|2
199|Spike Lee|2
200|Sidney Lumet|0
201|Lasse Hallstrom|2
202|Paul W.S. Anderson|2
203|Mike Nichols|2
204|Lawrence Kasdan|2
205|Bennett Miller|2
206|Gary Fleder|2
207|Zach Braff|2
208|Paul Verhoeven|2
209|Bruce Beresford|2
210|David Lynch|2
211|Federico Fellini|2
212|Mathieu Kassovitz|2
213|David Hand|2
214|Anthony Minghella|2
215|Andrew Adamson|2
216|Joel Schumacher|2
217|Helmut Dietl|2
218|Wes Anderson|2
219|Chris Wedge|2
220|Jacques Tati|2
221|Stefan Krohmer|2
222|Vincenzo Natali|2
223|Robert Stevenson|2
224|Detlev Buck|2
225|Roland Emmerich|2
226|Joshua Marston|0
227|Andrzej Sekula|2
228|Ernie Barbarash|0
229|Colin Strause|2
230|Reza Bagher|0
231|Michael Haneke|2
232|Hans-Christian Schmid|2
233|Mike Figgis|2
234|Ron Howard|2
235|Baz Luhrmann|2
236|Gurinder Chadha|1
237|Ernst Marischka|2
238|Dani Levy|2
239|Kay Pollak|0
240|Catherine Breillat|1
241|Alan J. Pakula|2
242|Nick Hamm|2
243|Maciej Dejczer|0
244|Darren Aronofsky|2
245|Arthur Penn|2
246|John Singleton|2
247|Mira Nair|1
248|Alberto Rodriguez|0
249|Gordon Parks|2
250|John Huston|2
251|Ingmar Bergman|2
252|Christian Wagner|2
253|Spike Jonze|2
254|John Guillermin|2
255|Larry Charles|2
256|Agnes Varda|1
257|Werner Herzog|2
258|Patty Jenkins|1
259|Roger Avary|2
260|Richard Curtis|2
261|Roger Michell|2
262|Richard Donner|2
263|Lee Tamahori|2
264|Nick Park|2
265|McG|2
266|Adrian Lyne|2
267|Sandra Jakisch|0
268|Stephane Brize|2
269|Angela Robinson|1
270|Carlos Carrera|0
271|Bobby Farrelly|2
272|Duncan Tucker|0
273|Julian Schnabel|2
274|David Fincher|2
275|Ronald Neame|2
276|Silvio Soldini|2
277|Aleksandr Rogozhkin|0
278|Romed Wyder|0
279|Sam Raimi|2
280|Francis Lawrence|2
